study,scenario_key,regime,method,theta,validation_tpr,validation_tnr,target_tpr,target_tnr,target_size_m,validation_total_N,n_pass,n_fail,rho_target,rho_actual,sensitivity_decline,specificity_decline,replications,coverage_count,coverage,coverage_wilson_low,coverage_wilson_high,coverage_mcse,bias,bias_mcse,bias_mc95_low,bias_mc95_high,rmse,empirical_sd,mean_width,mean_width_mcse,rms_raw_bootstrap_sd,rms_analytic_se,rms_reported_se,se_calibration_ratio,se_calibration_ratio_low,se_calibration_ratio_high,weak_j_fraction,discarded_fraction,analytic_bias,empirical_minus_analytic_bias
A,"A|low success, N=800|rho_target=0.40|m=2681|N=800","low success, N=800",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,2681,800,400,400,0.4,0.3999511031566673,nan,nan,5000,4728,0.9456,0.938964415086006,0.9515514089405591,0.003207511184703804,-0.0001983524472687348,0.00030747654298315236,-0.0008009953976065953,0.0004042905030691257,0.02174060542609622,0.0217418748599184,0.08443368387994574,9.680391513865935e-05,0.02169536526845482,nan,0.02169536526845482,0.9978608288492486,0.9780324768045304,1.0187879330949068,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.40|m=2681|N=800","low success, N=800",delta_method,0.2,0.875,0.875,0.875,0.875,2681,800,400,400,0.4,0.3999511031566673,nan,nan,5000,4751,0.9502,0.9438172390328634,0.9558915221358073,0.0030763601869742093,-0.0001983524472687348,0.00030747654298315236,-0.0008009953976065953,0.0004042905030691257,0.02174060542609622,0.0217418748599184,0.08448375795488226,8.946045548417414e-05,nan,0.021612694460545416,0.021612694460545416,0.9940584517110282,0.9765588366987582,1.0151667296490088,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.75|m=1430|N=800","low success, N=800",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,1430,800,400,400,0.75,0.7498383968972204,nan,nan,5000,4265,0.853,0.8429138927099192,0.8625441097168706,0.005007813894305578,-0.0008573259294618052,0.00034729970515254185,-0.001538020843402167,-0.0001766310155214433,0.02457030355244601,0.02455779766174509,0.07165408244774864,0.00010212928081556767,0.01844767314955348,nan,0.01844767314955348,0.7511941177970671,0.737657320444009,0.7660276188384588,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.75|m=1430|N=800","low success, N=800",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,1430,800,400,400,0.75,0.7498383968972204,nan,nan,5000,4714,0.9428,0.936016746325258,0.9489033768321995,0.0032841485959073176,-0.0008573259294618052,0.00034729970515254185,-0.001538020843402167,-0.0001766310155214433,0.02457030355244601,0.02455779766174509,0.0945581777455676,9.715490555225269e-05,0.024274328690892116,nan,0.024274328690892116,0.988457068717748,0.9702957042235936,1.0087203629164332,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.75|m=1430|N=800","low success, N=800",delta_method,0.2,0.875,0.875,0.875,0.875,1430,800,400,400,0.75,0.7498383968972204,nan,nan,5000,4727,0.9454,0.9387537176068037,0.9513624135005396,0.003213062090903317,-0.0008573259294618052,0.00034729970515254185,-0.001538020843402167,-0.0001766310155214433,0.02457030355244601,0.02455779766174509,0.09462392625158356,8.856525689400081e-05,nan,0.02419199931685241,0.02419199931685241,0.9851045948854567,0.9653735584884016,1.0066849270987959,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=1.00|m=1072|N=800","low success, N=800",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,1072,800,400,400,1.0,1.0002508466072997,nan,nan,5000,4162,0.8324,0.821792646944112,0.8424969848028142,0.005282238919246269,-0.0002972418232677909,0.0003634932469746824,-0.0010096754959616912,0.0004151918494261095,0.025702002418914575,0.025702853985131443,0.07139439542448242,0.00010149046315776087,0.018386234694415266,nan,0.018386234694415266,0.7153382540729256,0.7019076155341029,0.7288456040918014,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=1.00|m=1072|N=800","low success, N=800",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,1072,800,400,400,1.0,1.0002508466072997,nan,nan,5000,4742,0.9484,0.9419167179483694,0.9541948069473034,0.003128496124338337,-0.0002972418232677909,0.0003634932469746824,-0.0010096754959616912,0.0004151918494261095,0.025702002418914575,0.025702853985131443,0.1008571091115573,9.800948768019953e-05,0.025882671415119112,nan,0.025882671415119112,1.006996010252079,0.9875368021669736,1.0227798613098147,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=1.00|m=1072|N=800","low success, N=800",delta_method,0.2,0.875,0.875,0.875,0.875,1072,800,400,400,1.0,1.0002508466072997,nan,nan,5000,4758,0.9516,0.9452969156918606,0.957209695911364,0.0030350433275325743,-0.0002972418232677909,0.0003634932469746824,-0.0010096754959616912,0.0004151918494261095,0.025702002418914575,0.025702853985131443,0.10097201143684507,8.752464989463869e-05,nan,0.02580697070260429,0.02580697070260429,1.0040507843032946,0.9838443876310343,1.0237705519546443,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=1.50|m=715|N=800","low success, N=800",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,715,800,400,400,1.5,1.4996767937944409,nan,nan,5000,3935,0.787,0.7754333401677951,0.7981259989157423,0.005790181344310383,-0.000727208854212763,0.00040203192412803913,-0.0015151769461390595,6.0759237713533284e-05,0.028434407733239225,0.028427949980441205,0.07161462150542579,0.00010142590372247894,0.018429683253464037,nan,0.018429683253464037,0.6482944871559115,0.6367794076742638,0.6621431365683831,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=1.50|m=715|N=800","low success, N=800",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,715,800,400,400,1.5,1.4996767937944409,nan,nan,5000,4754,0.9508,0.9444512224818337,0.9564566174445029,0.0030587369942510594,-0.000727208854212763,0.00040203192412803913,-0.0015151769461390595,6.0759237713533284e-05,0.028434407733239225,0.028427949980441205,0.112863690388499,9.978158383636918e-05,0.028945240493664752,nan,0.028945240493664752,1.0181965464825797,0.9998567789895916,1.0385306989073524,0.0,0.0,nan,nan
